y_grad,unit,isco88,geo,year,value
Total,Percentage,Legislators, senior officials and managers,Bulgaria,2009 ,7.98
Total,Percentage,Legislators, senior officials and managers,Bulgaria,2006 ,7.91
Total,Percentage,Legislators, senior officials and managers,Cyprus,2009 ,0
Total,Percentage,Legislators, senior officials and managers,Cyprus,2006 ,24.26
Total,Percentage,Legislators, senior officials and managers,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Legislators, senior officials and managers,Germany (until 1990 former territory of the FRG),2006 ,4.47
Total,Percentage,Legislators, senior officials and managers,Denmark,2009 ,0
Total,Percentage,Legislators, senior officials and managers,Denmark,2006 ,10.58
Total,Percentage,Legislators, senior officials and managers,Estonia,2009 ,0
Total,Percentage,Legislators, senior officials and managers,Estonia,2006 ,11.72
Total,Percentage,Legislators, senior officials and managers,Croatia,2009 ,4.53
Total,Percentage,Legislators, senior officials and managers,Croatia,2006 ,3.2
Total,Percentage,Legislators, senior officials and managers,Iceland,2009 ,0
Total,Percentage,Legislators, senior officials and managers,Iceland,2006 ,18.2
Total,Percentage,Legislators, senior officials and managers,Lithuania,2009 ,0
Total,Percentage,Legislators, senior officials and managers,Lithuania,2006 ,3.68
Total,Percentage,Legislators, senior officials and managers,Latvia,2009 ,17.22
Total,Percentage,Legislators, senior officials and managers,Latvia,2006 ,11.8
Total,Percentage,Legislators, senior officials and managers,Netherlands,2009 ,0
Total,Percentage,Legislators, senior officials and managers,Netherlands,2006 ,10.94
Total,Percentage,Legislators, senior officials and managers,Norway,2009 ,0
Total,Percentage,Legislators, senior officials and managers,Norway,2006 ,5.81
Total,Percentage,Legislators, senior officials and managers,Poland,2009 ,1.53
Total,Percentage,Legislators, senior officials and managers,Poland,2006 ,0
Total,Percentage,Legislators, senior officials and managers,Portugal,2009 ,0
Total,Percentage,Legislators, senior officials and managers,Portugal,2006 ,2.9
Total,Percentage,Legislators, senior officials and managers,Sweden,2009 ,0
Total,Percentage,Legislators, senior officials and managers,Sweden,2006 ,7.78
Total,Percentage,Legislators, senior officials and managers,United States,2009 ,0
Total,Percentage,Legislators, senior officials and managers,United States,2006 ,10.49
Total,Percentage,Professionals,Bulgaria,2009 ,90.1
Total,Percentage,Professionals,Bulgaria,2006 ,90.24
Total,Percentage,Professionals,Cyprus,2009 ,0
Total,Percentage,Professionals,Cyprus,2006 ,75.35
Total,Percentage,Professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Professionals,Germany (until 1990 former territory of the FRG),2006 ,84.14
Total,Percentage,Professionals,Denmark,2009 ,0
Total,Percentage,Professionals,Denmark,2006 ,84.27
Total,Percentage,Professionals,Estonia,2009 ,0
Total,Percentage,Professionals,Estonia,2006 ,85.28
Total,Percentage,Professionals,Croatia,2009 ,95.06
Total,Percentage,Professionals,Croatia,2006 ,96.56
Total,Percentage,Professionals,Iceland,2009 ,0
Total,Percentage,Professionals,Iceland,2006 ,81.31
Total,Percentage,Professionals,Lithuania,2009 ,0
Total,Percentage,Professionals,Lithuania,2006 ,95.68
Total,Percentage,Professionals,Latvia,2009 ,79.82
Total,Percentage,Professionals,Latvia,2006 ,85.52
Total,Percentage,Professionals,Netherlands,2009 ,0
Total,Percentage,Professionals,Netherlands,2006 ,70.31
Total,Percentage,Professionals,Norway,2009 ,0
