"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"Database by themes"	"data"	"folder"	" "	" "	" "	" "	
"    General and regional statistics"	"general"	"folder"	" "	" "	" "	" "	
"        European and national indicators for short-term analysis"	"euroind"	"folder"	" "	" "	" "	" "	
"            Business and consumer surveys (source: DG ECFIN) "	"ei_bcs"	"folder"	" "	" "	" "	" "	
"                Consumer surveys (source: DG ECFIN)"	"ei_bcs_cs"	"folder"	" "	" "	" "	" "	
"                    Consumers - monthly data "	"ei_bsco_m"	"dataset"	"29.06.2017"	"29.06.2017"	"1980M01"	"2017M06"	
"                    Consumers - quarterly data"	"ei_bsco_q"	"dataset"	"29.06.2017"	"27.04.2017"	"1990Q1"	"2017Q2"	
"                Business surveys (source: DG ECFIN)"	"ei_bcs_bs"	"folder"	" "	" "	" "	" "	
"                    Business surveys - NACE Rev. 1.1 activity"	"ei_bcs_r1"	"folder"	" "	" "	" "	" "	
"                        Industry - monthly data"	"ei_bsin_m"	"dataset"	"05.03.2011"	"12.10.2015"	"1985M01"	"2010M12"	
"                        Industry - quarterly data"	"ei_bsin_q"	"dataset"	"05.03.2011"	"12.10.2015"	"1985Q1"	"2010Q4"	
"                        Construction - monthly data"	"ei_bsbu_m"	"dataset"	"05.03.2011"	"12.10.2015"	"1985M01"	"2010M12"	
"                        Construction - quarterly data"	"ei_bsbu_q"	"dataset"	"05.03.2011"	"12.10.2015"	"1985Q1"	"2010Q4"	
"                        Retail sale - monthly data"	"ei_bsrt_m"	"dataset"	"05.03.2011"	"12.10.2015"	"1985M01"	"2011M01"	
"                        Sentiment indicators - monthly data"	"ei_bssi_m"	"dataset"	"05.03.2011"	"12.10.2015"	"1985M01"	"2011M01"	
"                        Services - monthly data"	"ei_bsse_m"	"dataset"	"05.03.2011"	"12.10.2015"	"1988M01"	"2010M12"	
"                        Euro-zone Business Climate Indicator - monthly data"	"ei_bsci_m"	"dataset"	"05.03.2011"	"12.10.2015"	"1985M01"	"2010M05"	
"                    Business surveys - NACE Rev. 2 activity"	"ei_bcs_r2"	"folder"	" "	" "	" "	" "	
"                        Industry - monthly data"	"ei_bsin_m_r2"	"dataset"	"29.06.2017"	"29.06.2017"	"1980M01"	"2017M06"	
