sex,prof_pos,sectperf,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 
F,RSE,BES,PC_ACT_FTE,AT	: 	: 	0.2023 	: 	0.1813 	: 	0.1688 	: 	0.1436 	0.1238 	: 	0.1081 	: 	0.09 	: 	: 	: 	0.0581 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,BE	: 	: 	: 	: 	0.2123 	0.1973 	0.174 	0.1747 	0.181 	0.1798 	0.1681 	0.1625 	0.1593 	0.1604 	0.1646 	0.1505 	0.1414 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,BG	: 	0.0922 	0.0767 	0.0592 	0.0467 	0.0441 	0.0482 	0.0396 	0.0327 	0.0315 	0.038 	0.0393 	0.0401 	0.0322 	0.035 	0.0365 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,CY	: 	0.0303 	0.0299 	0.0283 	0.0277 	0.0307 	0.0343 	0.0348 	0.0264 	0.0251 	0.0225 	0.0188 	0.0182 	0.0231 	0.0183 	0.016 	0.0122 	0.0099 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,CZ	: 	0.1163 	0.107 	0.0998 	0.0912 	0.081 	0.0841 	0.086 	0.0772 	0.068 	0.0699 b	0.0472 	0.0467 	0.0445 	0.0416 	0.0399 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,DE	: 	: 	0.1428 	: 	0.1411 	: 	0.1221 	: 	0.1054 e	: 	0.1044 	: 	0.1024 	: 	0.1074 	: 	0.0841 	: 	0.1315 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,DK	: 	: 	0.4777 	0.4448 	0.4381 	0.4297 e	0.4172 	: 	0.3421 b	: 	0.3242 	: 	0.2654 	0.2627 b	0.1748 d	: 	0.144 	0.1365 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,EE	: 	0.1196 	0.1276 	0.1296 	0.1332 	0.111 	0.111 	0.0837 	0.0903 	0.0683 	0.0713 	0.0495 	0.0377 	0.0351 	0.0364 	0.0276 	0.0427 	0.0287 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,EL	: 	: 	0.0554 	: 	0.0634 b	: 	: 	: 	0.0717 	: 	0.0576 	: 	0.0548 	: 	0.0439 	: 	0.0295 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,ES	: 	0.131 	0.1313 	0.1278 	0.1289 	0.1314 	0.1355 	0.1377 	0.1293 	0.1234 	0.1093 	0.1049 	0.0922 	0.0847 b	0.0513 	: 	0.0442 	: 	0.0326 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
