sectperf,prof_pos,sex,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
BES,OTH,F,FTE,AT	: 	: 	950 	: 	1114 	: 	944 	: 	1034 	1030 	: 	973 	: 	761 	: 	: 	: 	941 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,BA	: 	57 	80 	86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,BE	: 	: 	: 	: 	1129 	1061 	1252 	1215 	2111 	2030 	1554 	1481 	1422 	1447 	1575 	1479 	1363 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,BG	: 	: 	: 	: 	114 	152 	228 	192 	133 	118 	125 	136 	154 	162 	162 	197 	142 	228 	248 	309 	374 	422 	979 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,CY	: 	11 	10 	8 	11 	14 	15 	17 	16 	29 	22 	23 	21 	18 	14 	15 	14 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,CZ	: 	1680 	1724 	1798 	1560 	1400 	1233 	1246 	1227 	1094 	1093 b	612 	552 	598 	634 	601 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,DE	: 	: 	13774 	: 	14292 	: 	15667 	: 	16820 e	: 	16249 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,DK	: 	: 	: 	: 	1559 	1694 e	1828 	: 	1369 b	: 	1445 	: 	1659 	: 	: 	: 	1326 	1145 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,EE	: 	60 	69 	60 	80 	79 	57 	69 	99 	103 	111 	79 	61 	56 	48 	30 	92 	26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,EL	: 	: 	: 	: 	457 b	: 	: 	: 	665 	: 	780 	: 	664 	: 	: 	: 	497 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,ES	: 	3705 	3876 	3883 	4169 	4294 	5084 	5211 	5107 	4761 	4577 	4529 	4184 	4074 b	2328 	: 	2638 	: 	2099 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,HR	: 	122 	116 	108 	113 	140 	194 	182 	165 	136 	120 	223 	164 	228 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,HU	: 	1041 	1191 	1001 	575 	611 	547 	458 	399 	354 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,IE	: 	: 	724 	: 	577 	515 e	505 	551 	513 	447 	380 	400 	424 	420 	457 	: 	389 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,IS	: 	: 	: 	: 	48 b	: 	35 	30 	29 	57 	76 	: 	: 	: 	: 	: 	44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,IT	: 	6205 	6096 	5979 	5280 	5880 	4680 	4568 	4397 	3736 	3222 	2727 	2752 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,JP	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31451 	34262 	37884 	39947 	40752 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,KR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1873 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,LT	: 	: 	: 	: 	199 	104 	118 	115 	348 	90 	133 	117 	83 	46 	77 	64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,LU	: 	: 	80 	: 	151 	: 	313 	: 	267 	: 	181 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,LV	: 	: 	: 	: 	81 	139 	91 	206 	224 	174 	163 	134 	147 	280 	219 	89 	77 	71 	77 	90 	157 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,ME	: 	13 	17 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,MK	: 	: 	: 	3 	2 	1 	1 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,MT	: 	53 	36 	37 	41 	35 	18 	18 	15 	25 	22 	18 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,NL	: 	: 	: 	: 	3204 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2369 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,PT	: 	328 	297 b	228 	286 	208 	257 	250 	418 	329 e	241 	256 e	271 	194 e	118 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,RO	: 	1303 	1378 	1622 	1721 b	531 	1187 	1263 	1191 	1673 	1443 	1817 	1823 	1851 	2080 	2063 	4471 	4092 	5038 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,RS	: 	350 	145 	105 	74 	152 	418 	298 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,SE	: 	: 	: 	: 	2816 	: 	3210 	: 	3431 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,SI	: 	361 	315 	345 	374 b	266 	221 	203 b	193 	202 	191 	195 	197 	230 	253 	551 	473 	489 	445 	463 	511 	535 	468 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,SK	: 	149 	113 	107 	112 	131 	124 	136 	140 	166 	236 	257 	307 	378 	462 	508 	535 	607 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,FTE,TR	: 	1609 	1288 	1131 	947 	771 	713 	646 	552 	386 	346 	278 	224 	133 	118 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,AT	: 	: 	1670 	: 	1807 	: 	1517 	: 	1543 	1595 	: 	1390 	: 	1058 	: 	: 	: 	1244 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,BA	: 	130 	104 	139 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,BE	: 	: 	: 	: 	1400 	1296 	1755 	1718 	2528 	2446 	2016 	1897 	1947 	1893 	2009 	1779 	1569 	1550 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,BG	: 	: 	: 	: 	: c	204 	281 	225 	170 	144 	139 	153 	172 	169 	168 	205 	142 	228 	248 	309 	374 	422 	979 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,CH	: 	: 	: 	4125 	: 	: 	: 	3010 	: 	: 	: 	2280 	: 	: 	: 	2230 	: 	: 	: 	1635 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,CY	: 	25 	26 	18 	23 	32 	38 	42 	48 	85 	79 	91 	89 	74 	68 	63 	62 	45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,CZ	: 	2611 	2646 	2607 	2255 	2123 	1780 	1742 	1788 	1605 	1607 	1641 	1606 	1553 	1552 	1702 	1825 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,DE	: 	: 	15948 	: 	16586 	: 	18332 	: 	18730 	: 	18674 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,DK	: 	: 	: 	: 	2414 	2352 e	2451 	: 	1959 b	: 	2286 	: 	2526 	2756 b	2332 	: 	1958 	1722 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,EE	: 	103 	103 	97 	143 	150 	118 	130 	178 	205 	189 	128 	152 	80 	105 	97 	177 	76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,EL	: 	: 	: 	: 	750 b	: 	: 	: 	1485 	: 	1315 	: 	1434 	: 	1390 	: 	1058 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,ES	: 	5823 	5967 	5958 	6219 	6592 	7521 	8066 	7536 	6867 	6169 	6022 	5419 	5348 b	2808 	: 	3349 	: 	2589 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,FR	: 	: 	6473 	6401 	6793 	7087 	6981 	7300 	7375 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,HR	: 	182 	160 	140 	144 	170 	226 	201 	182 	150 	137 	235 	165 	235 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,HU	: 	1200 	1403 	1267 	776 	815 	688 	576 	544 	454 	406 	511 	604 	770 	624 	427 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,IE	: 	: 	1536 	: 	1242 	1017 e	997 	978 	912 	877 	841 	800 	755 	739 	924 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,IS	139 	: 	157 b	: 	71 b	: 	58 	72 	69 	130 	167 	: 	156 	: 	114 	: 	89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,IT	: 	8940 	8783 	8822 	8082 	8906 	7211 	6850 	6455 	6515 	4422 	3747 	3552 	3860 	3274 	2995 	2729 	2101 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,JP	: 	22645 	21384 	22407 	21963 	25263 	24597 	26333 	26715 	29085 	28723 	28422 	26538 	26267 	27770 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,KR	: 	6688 	6041 	6243 	5680 	5397 	4885 	4526 	4268 b	3750 d	3405 d	3144 d	3003 d	2845 d	3036 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,LT	: 	: 	: 	: 	260 	170 	206 	135 	408 	138 	175 	191 	96 	53 	95 	80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
