unit,sex,age,isced11,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 
THS,F,Y15-19,ED0-2,AT	155.0 	157.1 	155.9 b	184.7 	188.1 	195.2 	198.0 	199.0 	198.2 	197.6 	193.8 b	182.3 b	175.5 b	191.3 	189.3 	184.8 	189.1 	184.0 	182.4 b	166.4 	161.8 	162.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,BE	224.1 	223.0 	223.4 b	225.3 	226.5 	225.5 	234.0 	229.3 	236.0 b	231.4 	232.3 	228.0 b	232.2 	237.2 	226.7 	226.8 	229.5 	236.9 b	231.6 b	225.0 	223.7 	230.1 	215.2 	222.9 	213.8 b	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,BG	126.3 	126.8 	125.8 b	133.5 	136.7 	149.5 b	162.5 b	206.0 	213.9 	223.3 	231.6 b	234.6 b	244.7 	232.6 b	228.2 	206.0 b	210.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,CH	174.3 	174.8 	176.8 b	183.1 	187.9 	190.4 	185.4 b	198.0 	198.8 	199.4 	190.5 	191.2 b	194.6 	191.2 	186.6 	189.4 	188.8 	188.0 	188.7 b	177.0 	170.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,CY	19.0 	18.8 	20.6 b	19.9 	19.2 	19.2 	19.6 	20.4 b	17.6 	17.2 	17.6 	17.7 b	18.8 	17.8 	16.3 	16.7 	16.6 	19.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,CZ	199.2 	196.2 	197.0 b	208.3 	221.3 	241.4 b	253.8 	264.7 	275.1 	276.0 	276.6 	276.1 b	286.0 	290.1 b	289.4 	279.7 	260.7 	250.9 	257.1 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,DE	1664.8 	1701.5 	1680.2 b	1003.0 	1032.9 	1060.0 	1802.2 b	1937.6 	2008.0 	2125.7 	2174.9 	2205.3 b	2004.3 	2023.0 	1988.6 	1990.5 	641.7 	622.8 	: 	1920.2 	1812.5 b	1292.1 	1042.5 	1178.9 	1366.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,DK	153.3 b	153.5 	153.9 b	154.5 	154.5 	155.3 	154.1 	151.5 	148.9 	142.9 b	144.4 	136.8 b	137.4 	130.0 b	86.5 	82.9 	126.5 	122.5 	141.2 b	130.1 	145.3 	137.5 	126.7 	126.0 	151.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,EA17	6330.9 	6370.7 	6349.2 b	5672.0 	5735.1 	5853.5 	6657.1 	6866.6 	6960.7 	7064.3 	7109.6 	7150.8 b	7084.6 	7225.3 	7220.8 	7179.5 	5900.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,EA18	6365.7 	6408.3 	6386.8 b	5712.1 	5778.8 	5903.9 	6714.5 	6929.8 	7027.8 	7134.0 	7183.4 	7225.6 b	7156.6 	7298.9 	7290.9 	7242.4 	5967.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,EA19	6430.7 	6478.1 	6462.0 b	5790.9 	5862.3 	5992.6 	6810.4 	7029.4 	7129.5 	7236.8 	7288.3 	7330.8 b	7266.0 	7410.3 	7406.8 	7349.0 	6068.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,EE	24.5 	24.7 	25.1 b	26.7 	28.0 	30.0 	33.7 	35.7 	39.8 	40.5 	41.9 	40.9 b	41.5 	41.6 	40.0 	29.4 	36.3 b	35.0 	33.4 b	31.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,EL	196.1 	207.1 	194.5 b	205.3 	208.4 	211.4 	212.3 	215.6 b	223.6 	227.7 	222.2 	211.4 b	222.7 b	242.8 	245.2 	248.8 b	249.5 	254.3 	249.9 b	262.7 	257.9 	270.2 	276.6 	260.6 	263.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,ES	584.4 	574.9 	602.6 b	606.7 	617.1 	621.0 	640.4 	674.6 	674.2 	679.3 	662.4 	677.8 b	708.9 	718.6 	731.7 	684.9 	710.0 	694.1 	688.9 b	964.1 	992.2 	1050.0 	1088.1 	1154.9 	1159.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,EU15	6828.9 	6884.0 	6869.5 b	6203.9 	6270.1 	6421.0 	7266.9 	7496.0 	7603.9 	7659.0 	7706.7 	7677.8 b	7665.7 	7723.5 	7693.1 	7654.6 	6416.6 	6452.6 	5226.6 b	8807.8 	8706.9 	7990.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,EU27	8874.6 	8980.4 	9001.5 b	8417.3 	8562.9 	8826.5 	9774.6 	10216.2 	10454.8 	10606.4 	10763.7 	10775.6 b	10895.5 	10973.3 	10908.1 	10767.1 	9482.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,EU28	8958.1 	9064.6 	9088.8 b	8505.7 	8649.5 	8911.6 	9862.7 	10306.2 	10543.8 	10695.4 	10854.3 	10867.6 b	10986.6 	11070.6 	10998.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,FI	130.2 	132.9 	133.3 b	137.1 	141.6 	144.0 	145.0 	144.3 	142.0 	136.0 	136.7 	135.4 b	130.7 	134.6 	137.4 	139.8 	132.3 b	137.9 	134.9 b	138.0 	135.4 	131.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,FR	1268.1 	1279.7 	1262.4 b	1218.9 b	1222.8 	1252.0 	1244.4 	1256.5 	1267.3 	1268.6 	1295.7 	1322.3 b	1371.9 	1377.8 b	1384.6 	1393.2 	1417.4 	1394.9 	1417.3 b	1224.3 	1215.2 	1210.8 	1191.1 	1242.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,HR	83.5 	84.3 	87.3 b	88.4 	86.6 	85.1 	88.1 b	90.0 	89.0 	89.0 	90.6 	92.0 b	91.1 	97.3 	90.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,HU	201.4 	207.2 	211.5 b	220.4 	229.6 	237.9 	240.6 	243.2 	249.3 	252.9 	256.2 	253.9 b	260.9 	258.4 	258.8 	255.2 b	233.3 	241.1 	258.7 b	325.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,IE	106.2 	108.5 	105.6 b	102.2 	100.4 	101.9 	106.0 	103.0 b	105.4 	104.9 b	102.5 	104.9 b	109.4 	108.6 	109.4 	113.5 	118.1 	120.0 	: 	121.4 	120.8 	118.2 	110.9 	107.6 	114.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,IS	7.8 	8.2 	7.9 b	8.1 	8.4 	8.5 	8.6 	8.5 	8.5 	8.5 	6.1 	7.3 b	6.7 	6.6 b	7.8 	7.9 	8.1 	8.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,IT	1180.4 	1173.0 	1170.1 b	1168.8 	1177.1 	1195.3 	1201.1 	1218.9 	1206.4 	1182.8 	1170.2 	1159.1 b	1169.3 b	1222.0 	1289.7 	1303.5 	1288.3 	1324.2 	1354.3 b	1441.9 	1507.9 	1571.5 	1651.7 	1708.5 	1650.1 b	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,LT	65.0 	69.8 	75.3 b	78.8 	83.5 	88.7 	95.9 	99.6 	101.7 	102.9 	104.9 	105.2 b	109.4 	111.4 	115.9 b	106.6 	101.0 b	86.4 	79.1 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,LU	14.6 	13.7 b	13.8 b	13.8 	13.7 	13.4 	13.0 	12.3 b	12.1 	12.2 b	12.2 	11.8 b	11.1 	10.3 b	9.5 	8.4 	5.6 	5.9 	: 	9.0 	8.7 	8.2 	6.8 	7.2 	8.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,LV	34.8 	37.6 	37.6 b	40.2 	43.7 	50.4 	57.5 	63.2 	67.1 	69.7 	73.8 	74.8 b	72.0 	73.6 	70.1 b	62.9 	66.8 	59.8 	54.9 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,MK	46.3 	45.8 	47.9 b	51.1 	54.4 	56.9 	58.1 	57.7 	60.0 	59.9 	59.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,MT	4.6 	5.6 	5.5 b	5.8 	5.7 	5.3 b	4.5 	4.5 	5.3 	7.3 	6.3 	6.9 b	12.1 d	11.9 d	11.9 d	11.7 d	11.4 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,NL	386.7 	377.8 	376.6 b	370.1 b	365.8 	374.4 	377.7 b	377.1 	378.4 	380.9 	378.5 	375.2 b	378.9 	384.8 	336.4 	321.5 	337.2 	357.7 	350.4 b	336.6 	340.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,NO	138.0 	135.4 	138.4 b	100.2 	104.9 	109.8 	106.6 	107.2 	118.5 	136.4 	133.9 b	97.9 b	90.4 	88.9 b	72.2 	56.1 	62.0 	66.9 	58.9 b	52.9 	64.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,PL	765.7 	807.2 	819.7 b	847.4 	882.0 	926.1 	971.8 b	1024.1 	1066.8 	1089.4 	1133.1 	1137.7 b	1211.4 b	1230.1 b	1236.0 	1222.8 	1197.0 b	1197.3 	1207.1 b	1196.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
